YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1789,2338
2024-04,WEEKDAY,15,TRAIN,EW7,10805,16273
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,EW7,6182,7910
2024-04,WEEKDAY,23,TRAIN,CC23,1784,820
2024-04,WEEKENDS/HOLIDAY,23,TRAIN,CC23,498,295
2024-04,WEEKDAY,22,TRAIN,DT13,8487,7611
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3148,3467
2024-04,WEEKDAY,23,TRAIN,NE14,2508,18825
2024-04,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1025,8504
2024-04,WEEKDAY,22,TRAIN,NS9/TE2,26975,62367
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,13856,26616
2024-04,WEEKDAY,12,TRAIN,DT22,7965,8737
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4834,6703
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6126,6154
2024-04,WEEKDAY,18,TRAIN,DT28,39113,27152
2024-04,WEEKDAY,12,TRAIN,DT34,5650,4389
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2788,1585
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1813,598
2024-04,WEEKDAY,9,TRAIN,SW7,4332,1185
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,26364,22222
2024-04,WEEKDAY,12,TRAIN,NE17/PTC,36069,33949
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,NE8,26825,27270
2024-04,WEEKDAY,19,TRAIN,NE8,38755,63742
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3632,2037
2024-04,WEEKDAY,21,TRAIN,CC24,21330,4286
2024-04,WEEKDAY,12,TRAIN,EW8/CC9,40904,51462
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,31477,35648
2024-04,WEEKDAY,20,TRAIN,BP5,1699,2272
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,BP5,555,800
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,EW15,9765,13250
2024-04,WEEKDAY,12,TRAIN,EW15,34720,37653
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,SW4,1051,345
2024-04,WEEKDAY,7,TRAIN,SW4,12402,1601
2024-04,WEEKDAY,22,TRAIN,DT33,3851,23350
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1945,8861
