,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
22,42,87652636effffff,1.3891933017921934,103.84719170903382,"POLYGON ((103.86016424085615 1.3856158292553342, 103.85700938217177 1.3986742134246968, 103.84403610470349 1.4022523396658193, 103.83421810244873 1.3927709886892765, 103.83737415311795 1.379712386498886, 103.8503470142723 1.3761353531139449, 103.86016424085615 1.3856158292553342))",188.60101,92.30759,45.5147,53.500328,77.64229,57.654503,47.754166,59.372776,79.01477,158.92961,270.21527,102.58627,62.864883,46.632004,33.025105,14.982005
23,45,87652632dffffff,1.4020667909888724,103.977238827032,"POLYGON ((103.9902024494674 1.3984890669340642, 103.98705461035667 1.4115445800830022, 103.97409023995309 1.4151229642273735, 103.96427411754108 1.4056447323583536, 103.96742315324207 1.3925889897791597, 103.98038711497819 1.389011708307291, 103.9902024494674 1.3984890669340642))",27.909851,72.32442,27.169535,72.04995,69.52112,27.010588,34.39601,29.367403,52.882618,59.060696,77.179344,44.4824,59.552124,52.34399,90.31547,10.223434
24,47,876520d95ffffff,1.3049570274662716,103.84333471371896,"POLYGON ((103.85630417742213 1.3013837085594993, 103.85314992083924 1.314435751149279, 103.84017971194218 1.3180097264283923, 103.83036417616988 1.3085305652330137, 103.83351962398848 1.295478307425089, 103.84648941655877 1.2919054258381997, 103.85630417742213 1.3013837085594993))",186.78746,229.77733,120.794174,117.594536,200.35506,198.66202,280.8682,280.98642,327.68658,624.3757,482.34232,448.0297,226.56584,265.64398,226.38696,73.49517
25,48,87652634affffff,1.4616614566308603,103.80545495588092,"POLYGON ((103.81843336219295 1.4580803015846902, 103.81527551659636 1.4711454151626169, 103.80229636503972 1.4747272192375802, 103.79247547825899 1.465242820887768, 103.79563451491182 1.4521774907063478, 103.8086132475051 1.4485967752863849, 103.81843336219295 1.4580803015846902))",66.295235,27.713629,51.778057,76.57268,57.917416,137.13364,86.99736,175.102,208.66321,203.81697,371.64426,270.56656,140.79335,78.20434,34.774277,19.398823
26,49,876526acbffffff,1.339296857974865,103.89556438133464,"POLYGON ((103.908531442891 1.3357220038846724, 103.90537971955744 1.3487751431940527, 103.89241191173834 1.3523506552277593, 103.882596240799 1.3428719305134098, 103.88574915743565 1.3298185705483503, 103.89871655192294 1.326244155761029, 103.908531442891 1.3357220038846724))",264.9872,126.20684,85.18811,82.56938,117.091675,117.42387,104.20713,112.47611,156.46664,242.014,299.6089,360.53452,171.70692,111.7736,84.715256,30.326895
27,51,87652634cffffff,1.4224706617565122,103.8149289331956,"POLYGON ((103.82790510379843 1.418891457480825, 103.82474815577062 1.4319533214013151, 103.81177123993554 1.4355331765474175, 103.80195169064754 1.4260500776602685, 103.80510982977702 1.4129879974808313, 103.81808632730858 1.4094092322554912, 103.82790510379843 1.418891457480825))",96.76981,45.475292,46.368248,80.70028,37.19555,99.55377,85.507904,45.912197,67.0645,136.1239,132.64517,53.727818,46.298637,45.75045,19.049622,5.3382277
28,66,876526345ffffff,1.4117336860617464,103.8538542243765,"POLYGON ((103.86682717195733 1.4081551200418196, 103.8636724608933 1.421215026522301, 103.85069876744701 1.424794245826658, 103.84088020125792 1.4153124653952864, 103.84403610470349 1.4022523396658193, 103.85700938217177 1.3986742134246968, 103.86682717195733 1.4081551200418196))",72.61016,52.598778,54.08331,47.056046,45.023037,29.117968,30.941298,28.884432,29.83531,51.215034,56.457726,30.67986,20.415869,10.901414,6.8577895,2.4765313
29,70,876520ca4ffffff,1.3204945821009595,103.74270110294889,"POLYGON ((103.75567838039409 1.3169201785387707, 103.75251846714404 1.329976356569883, 103.73954044620316 1.3335514106898634, 103.72972276103219 1.324069200848668, 103.73288386211159 1.3110128156796075, 103.74586146074918 1.3074388472971907, 103.75567838039409 1.3169201785387707))",230.07364,83.319214,72.839714,65.59402,109.67074,85.854485,79.85404,82.13857,101.47702,238.17366,165.9392,173.48932,80.55831,54.923016,43.31308,17.660824
30,75,876526ac1ffffff,1.31194869469402,103.95057532605384,"POLYGON ((103.96353731267068 1.3083753817393393, 103.96038887546295 1.3214247831844887, 103.94742614175246 1.3249987578933569, 103.93761225547904 1.3155222291315858, 103.9407618876957 1.3024726031770553, 103.9537242113904 1.2988997303013095, 103.96353731267068 1.3083753817393393))",93.02535,94.81261,75.6001,48.91699,61.52214,86.28977,48.27861,64.40571,74.72113,90.84426,108.07755,63.89513,32.14271,26.651844,18.749718,6.305625
31,78,87652634bffffff,1.4557584155801362,103.78265471199616,"POLYGON ((103.79563451491182 1.4521774907063478, 103.79247547825899 1.465242820887768, 103.77949493052675 1.4688243937919956, 103.76967383995807 1.459339549344443, 103.77283406682604 1.4462740046706772, 103.78581419426384 1.4426935187449206, 103.79563451491182 1.4521774907063478))",213.13773,93.04694,90.07603,166.74149,122.06932,323.76785,372.88885,210.92635,719.646,233.30212,777.9024,408.42148,239.85938,283.74646,95.38604,24.392527
