,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
16,31,876526af1ffffff,1.3071311023366294,104.01222894900064,"POLYGON ((104.02518624611226 1.3035582394087417, 104.02204124853384 1.316605421210694, 104.00908320328486 1.3201789492808111, 103.99927056219119 1.310704188735333, 104.00241675686986 1.2976567773481607, 104.01537439575458 1.2940843558993478, 104.02518624611226 1.3035582394087417))",10.381429,23.817833,15.763381,7.155546,31.742458,14.451862,19.17697,7.7626147,2.9704707,0.09420342,-0.013039997,0.014639478,0.0,0.0,0.0,0.0
17,33,876526344ffffff,1.4176360202889793,103.87664507781606,"POLYGON ((103.88961661701941 1.4140572276881822, 103.88646309917345 1.427116912811558, 103.87349081367931 1.43069635969269, 103.8636724608933 1.421215026522301, 103.86682717195733 1.4081551200418196, 103.87979904280412 1.4045767678968626, 103.88961661701941 1.4140572276881822))",11.610599,14.395866,19.593382,26.574701,44.30967,17.311228,113.08533,46.69121,41.922604,78.47897,67.44425,62.09897,31.744383,39.450363,76.41223,17.659063
18,34,876526ac9ffffff,1.3167663063487602,103.88890177508308,"POLYGON ((103.90186842352671 1.313192549921627, 103.89871655192294 1.326244155761029, 103.88574915743565 1.3298185705483503, 103.87593404843454 1.3203402822679917, 103.8790871129454 1.3072884570011563, 103.89205409376471 1.3037151392497182, 103.90186842352671 1.313192549921627))",178.10326,214.24861,180.62022,170.48112,253.30191,259.77853,192.53517,205.8698,260.9186,384.00952,418.49683,382.30835,248.86977,241.74278,221.99538,84.11835
19,36,876520cb3ffffff,1.4047575976459812,103.74653412637758,"POLYGON ((103.75951447880466 1.4011790738290848, 103.75635395999393 1.4142415801971606, 103.74337286361978 1.4178207518910597, 103.73355270856804 1.4083363321339033, 103.7367144159557 1.395273615836732, 103.74969509003486 1.391695529033676, 103.75951447880466 1.4011790738290848))",292.42078,239.55927,329.60013,345.91757,409.05392,353.23444,279.36517,290.21356,356.38614,354.37216,286.82666,277.54907,223.9795,167.52336,124.43875,43.17528
20,39,876526371ffffff,1.4235376793206156,103.89943430596294,"POLYGON ((103.91240443285284 1.4199586597812424, 103.90925210906018 1.4330181214397166, 103.89628123545495 1.4365977962549257, 103.88646309917345 1.427116912811558, 103.88961661701941 1.4140572276881822, 103.90258707730807 1.4104786492811527, 103.91240443285284 1.4199586597812424))",502.97952,904.8913,354.65222,297.02597,479.08783,387.46143,454.30972,305.88385,315.67392,568.06226,484.71967,346.77194,210.64864,150.0231,89.71124,23.11192
21,41,876520ca5ffffff,1.3145869994915422,103.71990519999032,"POLYGON ((103.73288386211159 1.3110128156796075, 103.72972276103219 1.324069200848668, 103.71674335584503 1.3276440342212938, 103.70692547558666 1.3181613981725244, 103.71008776365164 1.3051048079733312, 103.72306674520632 1.3015310586604982, 103.73288386211159 1.3110128156796075))",58.256844,19.59265,62.40633,101.97838,36.134098,93.630615,65.82375,193.46698,159.33115,276.2748,150.20253,82.02017,56.992397,23.29289,20.747423,14.139408
22,42,87652636effffff,1.3891933017921934,103.84719170903382,"POLYGON ((103.86016424085615 1.3856158292553342, 103.85700938217177 1.3986742134246968, 103.84403610470349 1.4022523396658193, 103.83421810244873 1.3927709886892765, 103.83737415311795 1.379712386498886, 103.8503470142723 1.3761353531139449, 103.86016424085615 1.3856158292553342))",56.070957,74.90374,65.308205,70.45756,86.42272,23.093615,59.34584,55.425205,62.874718,82.999855,83.25656,80.02788,53.243618,45.320446,38.660385,15.112419
23,45,87652632dffffff,1.4020667909888724,103.977238827032,"POLYGON ((103.9902024494674 1.3984890669340642, 103.98705461035667 1.4115445800830022, 103.97409023995309 1.4151229642273735, 103.96427411754108 1.4056447323583536, 103.96742315324207 1.3925889897791597, 103.98038711497819 1.389011708307291, 103.9902024494674 1.3984890669340642))",28.612774,11.828347,14.814731,35.623962,21.258692,21.10418,29.824617,26.169025,37.684696,37.05556,61.299747,121.58415,109.8088,34.171932,55.82199,9.946176
24,47,876520d95ffffff,1.3049570274662716,103.84333471371896,"POLYGON ((103.85630417742213 1.3013837085594993, 103.85314992083924 1.314435751149279, 103.84017971194218 1.3180097264283923, 103.83036417616988 1.3085305652330137, 103.83351962398848 1.295478307425089, 103.84648941655877 1.2919054258381997, 103.85630417742213 1.3013837085594993))",169.82234,268.68524,231.49492,254.85881,249.07687,284.41034,229.12064,508.75217,665.9961,875.91583,678.4176,619.1939,457.8499,489.5359,309.70523,100.054665
25,48,87652634affffff,1.4616614566308603,103.80545495588092,"POLYGON ((103.81843336219295 1.4580803015846902, 103.81527551659636 1.4711454151626169, 103.80229636503972 1.4747272192375802, 103.79247547825899 1.465242820887768, 103.79563451491182 1.4521774907063478, 103.8086132475051 1.4485967752863849, 103.81843336219295 1.4580803015846902))",100.881355,112.72143,124.028175,142.70277,169.55896,188.94962,138.8895,272.07092,322.8076,409.94946,376.19888,383.5288,161.1569,73.68516,61.048367,23.526785
