,geometry,latitude,longitude,weekday_00,weekday_05,weekday_06,weekday_07,weekday_08,weekday_09,weekday_10,weekday_11,weekday_12,weekday_13,weekday_14,weekday_15,weekday_16,weekday_17,weekday_18,weekday_19,weekday_20,weekday_21,weekday_22,weekday_23,weekend_00,weekend_05,weekend_06,weekend_07,weekend_08,weekend_09,weekend_10,weekend_11,weekend_12,weekend_13,weekend_14,weekend_15,weekend_16,weekend_17,weekend_18,weekend_19,weekend_20,weekend_21,weekend_22,weekend_23
54,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,12946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,0,0,0,0,0,0,0,0,0,0,0,0,0
61,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655
64,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,15745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259,0,0,0,0,0,0
66,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779,0,0,0,0,0,0,0,0,0,0,0
67,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,0,0,0,0
70,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0
71,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0
74,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4465,0,0,0,0,0,0,0,0,0,0,0,0
75,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,23188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8751,0,0,0,0,0,0,0,0,0,0,0,0,0
81,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,26579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,26745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11557,0,0,0,0,0,0,0,0,0
86,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11724,0,0,0,0,0
87,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,34087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,27188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6138,0
94,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,36155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10190,0,0,0,0,0,0,0,0,0,0,0,0
96,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,14266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,30908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12594,0,0,0,0,0,0,0,0,0,0
100,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12055,0,0,0,0,0,0,0,0
101,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,38862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,55020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12848,0,0,0,0,0,0,0
106,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,46489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13280,0,0,0,0,0,0,0,0,0,0,0
108,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9773,0,0,0
109,POINT (103.8391264975836 1.281404978130137),1.2814049781301369,103.8391264975836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
