,h3_index,h3_address,latitude,longitude,geometry,weekday_00,weekday_01,weekday_02,weekday_03,weekday_04,weekday_05,weekday_06,weekday_07,weekday_08,weekday_09,weekday_10,weekday_11,weekday_12,weekday_13,weekday_14,weekday_15,weekday_16,weekday_17,weekday_18,weekday_19,weekday_20,weekday_21,weekday_22,weekday_23,weekend_00,weekend_01,weekend_02,weekend_03,weekend_04,weekend_05,weekend_06,weekend_07,weekend_08,weekend_09,weekend_10,weekend_11,weekend_12,weekend_13,weekend_14,weekend_15,weekend_16,weekend_17,weekend_18,weekend_19,weekend_20,weekend_21,weekend_22,weekend_23
189,190,876520d91ffffff,1.3215839197654078,103.82720842941006,"POLYGON ((103.84017971194218 1.3180097264283923, 103.83702441120512 1.3310635213891948, 103.82405238368568 1.3346383696865007, 103.81423607443938 1.325158330600942, 103.81739256597116 1.3121043213006798, 103.83036417616988 1.3085305652330137, 103.84017971194218 1.3180097264283923))",4.372950819672131,0.0,0.0,0.0,0.0,8.512605042016807,181.49193548387098,380.07547169811323,568.4132231404959,280.2482269503546,118.66203703703704,145.70810810810812,138.14077669902912,174.36051502145924,300.05696202531647,228.2822966507177,253.43961352657004,327.0339805825243,440.6502732240437,249.53456221198158,96.93928571428572,94.23529411764706,93.73059360730593,35.75812274368231,4.943396226415095,0.0,0.0,0.0,0.0,2.3157894736842106,66.16666666666667,253.27586206896552,361.1470588235294,313.375,210.92207792207793,240.0,260.943661971831,159.74545454545455,196.0493827160494,223.19444444444446,314.59322033898303,301.0483870967742,307.43859649122805,234.78125,163.10169491525423,120.15942028985508,107.59722222222223,63.30882352941177
190,191,876520ca6ffffff,1.3430336276602521,103.74935825492906,"POLYGON ((103.76233595412299 1.3394581377316632, 103.75917618663568 1.352515850404935, 103.74619774372594 1.3560919904715407, 103.73637949048889 1.3466093317258558, 103.73954044620316 1.3335514106898634, 103.75251846714404 1.329976356569883, 103.76233595412299 1.3394581377316632))",10.664753157290471,0.0,0.0,0.0,0.0,73.12792297111417,408.4206586826347,683.3096296296296,661.8799283154121,252.44313725490196,172.42417061611374,149.87001023541453,179.33886010362696,187.5214552238806,212.654420206659,177.70061457418788,207.42752442996743,461.2154006243496,614.3961625282167,352.5404530744337,238.2647342995169,227.34083601286173,126.01153039832285,51.57966101694915,13.460176991150442,0.0,0.0,0.0,0.0,31.216129032258063,143.92753623188406,257.62704918032784,317.71774193548384,340.36286919831224,340.031746031746,448.4807692307692,417.7469879518072,377.6183745583039,364.2730375426621,374.5798611111111,378.16838487972507,461.5530303030303,418.222602739726,450.6255144032922,413.9641434262948,372.53877551020406,190.53951890034364,75.07849829351535
191,192,876526a52ffffff,1.2336714370652524,103.96946415442456,"POLYGON ((103.98242165858834 1.2301021073700187, 103.97927501478519 1.2431448923593322, 103.96631676355899 1.2467148874449916, 103.95650556505383 1.2372409930346295, 103.95965340394517 1.2241979842506503, 103.9726112464666 1.2206290934790045, 103.98242165858834 1.2301021073700187))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,193,87652634effffff,1.4450162698833093,103.82159090857657,"POLYGON ((103.83456749692752 1.44143597505994, 103.83141069599597 1.4544993563124489, 103.81843336219295 1.4580803015846902, 103.8086132475051 1.4485967752863849, 103.81177123993554 1.4355331765474175, 103.82474815577062 1.4319533214013151, 103.83456749692752 1.44143597505994))",11.017821782178217,0.0,0.0,0.0,0.0,100.16898148148148,614.3324324324325,1049.0563002680965,677.0686274509804,299.73766816143495,305.5581395348837,290.8591065292096,293.70723684210526,258.4494680851064,242.17662337662338,204.94796380090497,207.45759368836292,315.9700374531835,354.013671875,265.254817987152,170.97708333333333,133.6432865731463,90.55145631067961,40.34765625,15.534883720930232,0.0,0.0,0.0,0.0,55.75151515151515,164.289156626506,330.6204379562044,414.3259259259259,480.2314049586777,492.5378151260504,433.3211678832117,495.6386554621849,389.61764705882354,395.45669291338584,355.0827067669173,347.35915492957747,424.4173228346457,357.2733333333333,314.43884892086334,242.248322147651,218.7348484848485,133.0,55.357894736842105
193,194,876526ae8ffffff,1.2669014365103117,103.93724782407571,"POLYGON ((103.95020899076147 1.2633303278385437, 103.94706025531336 1.2763766511982364, 103.93409834197121 1.2799484224529838, 103.9242855749799 1.2704727687474902, 103.92743550464633 1.2574262233366023, 103.94039700729938 1.2538555534898193, 103.95020899076147 1.2633303278385437))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,195,876520dabffffff,1.2421766268364505,103.76165876638139,"POLYGON ((103.77463158292993 1.238606139452778, 103.77147346298221 1.2516557310635719, 103.75849990296024 1.2552268726691216, 103.74868488408521 1.2457473342255148, 103.75184419195743 1.2326975361620245, 103.76481733099631 1.2291274828020122, 103.77463158292993 1.238606139452778))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,196,876526af5ffffff,1.2905121587193542,104.02833094473444,"POLYGON ((104.041286402622 1.2869401863646182, 104.03814245233833 1.299985600508486, 104.02518624611226 1.3035582394087417, 104.01537439575458 1.2940843558993478, 104.01851954357036 1.2810387113005088, 104.03147534442407 1.2774671804736488, 104.041286402622 1.2869401863646182))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,197,876520c33ffffff,1.2469799465115696,103.69994100019063,"POLYGON ((103.71291839107354 1.2434090155048265, 103.7097568547065 1.2564607708397824, 103.69677872141864 1.2600323526638924, 103.68696254934892 1.250551095533062, 103.69012527150817 1.237499138838041, 103.70310298016199 1.2339286404410736, 103.71291839107354 1.2434090155048265))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,198,87652636bffffff,1.3999270033194249,103.8082676697787,"POLYGON ((103.82124342229783 1.3963488893854756, 103.81808632730858 1.4094092322554912, 103.80510982977702 1.4129879974808313, 103.79529084608954 1.403505329929531, 103.79844913178333 1.3904447720276998, 103.81142521067584 1.3868670965168777, 103.82124342229783 1.3963488893854756))",5.311475409836065,0.0,0.0,0.0,0.0,30.866666666666667,434.9583333333333,1486.4375,474.5833333333333,199.22,184.67567567567568,154.83673469387756,196.63829787234042,263.5,243.9189189189189,142.87301587301587,225.8,663.5111111111111,511.63829787234044,311.70212765957444,149.54237288135593,126.10909090909091,104.34482758620689,58.13953488372093,6.142857142857143,0.0,0.0,0.0,0.0,6.722222222222222,148.7,290.5833333333333,379.8181818181818,363.3076923076923,222.33333333333334,282.1666666666667,278.25,337.125,203.16666666666666,285.6875,310.0,333.2142857142857,647.375,508.6666666666667,293.0833333333333,195.125,151.05882352941177,54.72727272727273
198,199,876520db3ffffff,1.2883327639129583,103.85945813507246,"POLYGON ((103.87242577833429 1.2847603222077824, 103.8692725660839 1.2978106090714792, 103.85630417742213 1.3013837085594993, 103.84648941655877 1.2919054258381997, 103.84964382048499 1.2788549228788069, 103.86261179381357 1.2752829185438652, 103.87242577833429 1.2847603222077824))",5.603140916808149,0.0,0.0,0.0,0.0,12.213075060532688,53.49112426035503,99.375,130.42989571263035,61.66781017724414,43.5623822088202,105.17083734359962,177.46008531383302,151.87339166237777,199.73196659073653,210.49927113702623,274.18411000763945,566.1684919966301,803.1425454545455,377.9105199516324,167.7723012842763,191.6904958677686,157.25638599810785,58.490237841675544,9.16066066066066,0.0,0.0,0.0,0.0,5.097368421052631,59.631147540983605,102.08018867924528,110.37037037037037,82.98913043478261,110.04347826086956,126.93364197530865,162.74425727411946,197.85398230088495,277.45910780669146,367.78059071729956,518.822102425876,660.8056426332288,428.2050209205021,301.4868421052632,262.5453296703297,385.50395256916994,278.0982658959538,110.16939078751858
199,200,876520cb5ffffff,1.3655746540727192,103.7560161201407,"POLYGON ((103.76899424074873 1.3619980775689935, 103.76583461915884 1.3750573211742685, 103.75285575461483 1.378634547395664, 103.74303693351146 1.3691514436646954, 103.74619774372594 1.3560919904715407, 103.75917618663568 1.352515850404935, 103.76899424074873 1.3619980775689935))",6.6191950464396285,0.0,0.0,0.0,0.0,92.3225806451613,501.8512396694215,1025.0235849056603,902.8795811518324,448.6439024390244,292.9549549549549,267.6236162361624,232.56269113149847,234.64242424242425,248.32323232323233,263.8131868131868,241.42417582417582,323.3333333333333,338.38274932614553,230.28445747800586,136.2135135135135,116.41032608695652,76.53766233766234,38.073170731707314,9.38679245283019,0.0,0.0,0.0,0.0,37.57657657657658,139.75454545454545,281.77647058823527,411.2151898734177,431.4942528735632,374.76190476190476,394.79,417.18279569892474,310.7787610619469,254.72413793103448,301.9504950495049,357.2470588235294,427.85714285714283,343.96875,313.2162162162162,168.78504672897196,189.74074074074073,119.57142857142857,42.62096774193548
200,201,876520cb1ffffff,1.382211985899921,103.73987582426246,"POLYGON ((103.75285575461483 1.378634547395664, 103.74969509003486 1.391695529033676, 103.7367144159557 1.395273615836732, 103.72689482930288 1.3857896361251079, 103.73005668206191 1.3727284457833266, 103.74303693351146 1.3691514436646954, 103.75285575461483 1.378634547395664))",12.853211009174313,0.0,0.0,0.0,0.0,96.10634920634921,502.43689320388347,1061.8867924528302,705.0876826722338,376.0702127659574,284.1573275862069,297.0359550561798,288.87775551102203,295.55555555555554,279.6035856573705,258.8525963149079,283.522480620155,453.05602716468593,595.4467680608365,325.17491749174917,223.27361563517914,168.23111111111112,106.84074605451937,47.863945578231295,21.678571428571427,0.0,0.0,0.0,0.0,50.47787610619469,189.21428571428572,325.00558659217876,399.4611111111111,440.6609195402299,507.37179487179486,581.7957746478874,673.4065040650406,530.4503311258278,490.82236842105266,455.51552795031057,508.02666666666664,569.1156462585034,496.1636363636364,421.21290322580643,305.41711229946526,221.3953488372093,148.675,71.74683544303798
201,202,876520c98ffffff,1.448787209802864,103.67528614982801,"POLYGON ((103.6882733029039 1.4452063511943627, 103.68510846819389 1.458274251192859, 103.67212057223303 1.4618557524094038, 103.66229793781399 1.4523682746496462, 103.66546395891247 1.4393001694950047, 103.67845142825934 1.4357197470642682, 103.6882733029039 1.4452063511943627))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,203,876520c8dffffff,1.3752226058012018,103.63251117034777,"POLYGON ((103.64549841347103 1.3716452088591307, 103.64233196023095 1.3847087437642183, 103.6293439753186 1.3882867835862722, 103.6195228728095 1.3788002118217924, 103.6226905103923 1.3657364775432934, 103.63567806635977 1.3621595142103562, 103.64549841347103 1.3716452088591307))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,204,876526368ffffff,1.3832896344868595,103.8244002181867,"POLYGON ((103.83737415311795 1.379712386498886, 103.83421810244873 1.3927709886892765, 103.82124342229783 1.3963488893854756, 103.81142521067584 1.3868670965168777, 103.81458245249179 1.3738082784132777, 103.82755671499851 1.3702314688993193, 103.83737415311795 1.379712386498886))",3.1864406779661016,0.0,0.0,0.0,0.0,29.583333333333332,283.2631578947368,540.8571428571429,199.6451612903226,75.10280373831776,64.72043010752688,100.41666666666667,73.14942528735632,83.66233766233766,66.6125,53.14159292035398,68.60714285714286,224.1,306.1940298507463,160.4909090909091,59.21621621621622,48.31818181818182,39.375,16.102941176470587,3.4444444444444446,0.0,0.0,0.0,0.0,18.555555555555557,134.85714285714286,368.0,354.0,246.5,149.04,118.90625,169.65217391304347,154.8695652173913,154.11111111111111,124.4090909090909,159.0,138.0952380952381,135.0,111.0,149.91666666666666,69.2,173.0,20.26923076923077
204,205,876520c1dffffff,1.2684100912790504,103.62205443785504,"POLYGON ((103.63503817044614 1.2648378605776014, 103.63187218286231 1.2778935087518775, 103.61888770915346 1.2814663854422002, 103.60906965252742 1.271982536636054, 103.61223682330987 1.2589266930870915, 103.62522086773795 1.2553548935261627, 103.63503817044614 1.2648378605776014))",0.0,0.0,0.0,0.0,0.0,0.0,81.0,41.05882352941177,11.575,13.8,16.4375,30.0,66.0,45.0,47.44444444444444,53.0,60.75,45.041666666666664,96.77777777777777,119.0,57.111111111111114,48.5,136.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,43.142857142857146,27.75,62.0,117.66666666666667,375.0,405.0,154.5,261.0,96.0,80.25,205.5,58.2,132.5,12.615384615384615,34.25,44.0,3.25
205,206,876520c04ffffff,1.2185375788714374,103.6704941939383,"POLYGON ((103.68347253582102 1.214967944381503, 103.68030966923283 1.2280183491733039, 103.66733058559664 1.231588633901941, 103.65751479506159 1.2221074321101675, 103.66067884619824 1.2090568292864898, 103.67365750353892 1.2054876260934806, 103.68347253582102 1.214967944381503))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,207,876520d8bffffff,1.2979575250213111,103.73604466426522,"POLYGON ((103.7490215196273 1.2943842076158816, 103.74586146074918 1.3074388472971907, 103.73288386211159 1.3110128156796075, 103.72306674520632 1.3015310586604982, 103.72622799151623 1.288476213065611, 103.73920516751622 1.284903330210805, 103.7490215196273 1.2943842076158816))",0.8181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,21.533333333333335,31.391304347826086,10.666666666666666,7.208955223880597,8.065573770491802,11.36923076923077,13.451612903225806,12.23913043478261,12.555555555555555,20.16949152542373,48.32,165.46341463414635,127.02941176470588,78.42857142857143,41.03225806451613,29.75,7.390243902439025,2.813953488372093,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,10.583333333333334,32.18181818181818,17.0,13.454545454545455,17.545454545454547,36.2,49.63636363636363,24.8,20.8,49.3,32.27272727272727,236.66666666666666,36.90909090909091,95.0,37.6,4.733333333333333,8.428571428571429,1.5333333333333334
207,208,876520c8bffffff,1.414418392366826,103.62300868811683,"POLYGON ((103.63599815661577 1.4108390686331802, 103.63283080619468 1.4239058559100026, 103.61984059589822 1.4274858206744139, 103.61001816584971 1.4179979227530837, 103.61318670056116 1.4049309357703392, 103.62617648124929 1.4013520462226772, 103.63599815661577 1.4108390686331802))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,209,876520c99ffffff,1.4428807984084457,103.65247543161803,"POLYGON ((103.66546395891247 1.4393001694950047, 103.66229793781399 1.4523682746496462, 103.64930866806732 1.4559495451701017, 103.63948584758184 1.4464616332401252, 103.64265305421998 1.4333933250428887, 103.65564189602208 1.4298131316261917, 103.66546395891247 1.4393001694950047))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,210,876520db5ffffff,1.2491865309712256,103.86891821466178,"POLYGON ((103.88188362175087 1.245616066263223, 103.87873130614436 1.2586630494709594, 103.86576515366889 1.262234173785698, 103.8559517316901 1.2527572183009876, 103.85910523901573 1.2397100193482242, 103.87207097681564 1.236139991432486, 103.88188362175087 1.245616066263223))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
